Yr,Tm,FG%,3P%,2P%,Age,ORtg,DRtg,NRtg,Pace,3PAr,TS%,eFG%,TOV%,ORB%,eFG%,TOV%,DRB%,Championship
2022,Boston Celtics,0.449,0.373,0.511,26.3,110.7,107,3.7,95.3,0.448,0.574,0.533,13.8,21.9,0.501,12.3,76.9,N
2022,Golden State Warriors,0.48,0.375,0.561,28.2,115.2,110,5.2,97.1,0.433,0.59,0.561,13.3,23.6,0.522,12.7,77.5,Y
2022,Dallas Mavericks,0.449,0.38,0.521,27.1,114.9,114.1,0.8,92.6,0.513,0.584,0.546,10.1,15.7,0.539,12.8,74.7,N
2022,Miami Heat,0.445,0.313,0.536,28.3,110.6,106.6,4,94.2,0.408,0.55,0.509,12,23.3,0.52,14.9,79.4,N
2022,Phoenix Suns,0.497,0.363,0.563,27.8,115.6,116.7,-1.1,93.1,0.328,0.591,0.557,12.7,24.2,0.539,12.2,73.8,N
2022,Memphis Grizzlies,0.435,0.365,0.48,23.9,110.2,107.8,2.4,102.1,0.392,0.545,0.507,11.9,25.8,0.53,15.6,77.7,N
2022,Philadelphia 76ers,0.465,0.373,0.534,27.4,112.3,112,0.3,92.2,0.426,0.592,0.545,14.3,20.4,0.512,11,75.8,N
2022,Milwaukee Bucks,0.438,0.327,0.501,29.5,104.4,102.8,1.6,98.5,0.367,0.529,0.498,12.4,21.6,0.499,11.9,83.8,N
2022,New Orleans Pelicans,0.462,0.354,0.511,25.5,117.6,119.2,-1.6,93.4,0.312,0.566,0.518,13,35,0.575,10.7,80.3,N
2022,Minnesota Timberwolves,0.443,0.388,0.486,24.8,106.4,111.8,-5.4,102.6,0.435,0.579,0.527,15.8,17.1,0.519,13.6,72.5,N
2022,Toronto Raptors,0.446,0.299,0.536,25.3,111.2,120.2,-9,91.2,0.382,0.542,0.503,9.5,23,0.576,14,76.7,N
2022,Utah Jazz,0.443,0.274,0.546,29.1,108.8,115,-6.2,91,0.378,0.546,0.495,11.5,22.8,0.54,8.7,85.5,N
