Team,Salary,Projected Next Year,Year
Cleveland,"$14,403,000","$33,829,743",1990
New York,"$13,290,000","$31,215,535",1990
Detroit,"$12,910,000","$30,322,989",1990
LA Lakers,"$12,120,000","$28,467,438",1990
Atlanta,"$11,761,000","$27,624,220",1990
Dallas,"$11,693,000","$27,464,500",1990
Philadelphia,"$11,640,000","$27,340,013",1990
Milwaukee,"$11,595,000","$27,234,318",1990
Phoenix,"$11,463,000","$26,924,276",1990
Brooklyn,"$11,410,000","$26,799,790",1990
Boston,"$11,256,000","$26,438,074",1990
Portland,"$11,215,000","$26,341,775",1990
Golden State,"$11,150,000","$26,189,102",1990
San Antonio,"$11,057,000","$25,970,664",1990
Indiana,"$10,981,000","$25,792,156",1990
Utah,"$10,695,000","$25,120,399",1990
Oklahoma City,"$10,590,000","$24,873,775",1990
Houston,"$10,500,000","$24,662,383",1990
Charlotte,"$10,417,000","$24,467,433",1990
Denver,"$10,335,000","$24,274,832",1990
LA Clippers,"$10,245,000","$24,063,440",1990
Chicago,"$10,040,000","$23,581,937",1990
Washington,"$9,610,000","$22,571,952",1990
Sacramento,"$9,605,000","$22,560,207",1990
Miami,"$8,510,000","$19,988,272",1990
Minnesota,"$7,540,000","$17,709,938",1990
Orlando,"$7,532,000","$17,691,149",1990
Boston,"$25,343,000","$56,855,708",1991
Cleveland,"$16,882,000","$37,873,890",1991
Chicago,"$16,829,000","$37,754,987",1991
LA Lakers,"$15,673,000","$35,161,561",1991
Detroit,"$15,428,000","$34,611,919",1991
Indiana,"$15,090,000","$33,853,633",1991
Philadelphia,"$14,058,000","$31,538,392",1991
Phoenix,"$13,593,000","$30,495,187",1991
Oklahoma City,"$13,308,000","$29,855,805",1991
Houston,"$13,274,000","$29,779,529",1991
Dallas,"$13,004,000","$29,173,798",1991
LA Clippers,"$12,976,000","$29,110,980",1991
Atlanta,"$12,930,000","$29,007,784",1991
Utah,"$12,761,000","$28,628,640",1991
Portland,"$12,742,000","$28,586,014",1991
Washington,"$12,633,000","$28,341,479",1991
Charlotte,"$12,625,000","$28,323,531",1991
Brooklyn,"$12,598,000","$28,262,957",1991
Golden State,"$12,500,000","$28,043,099",1991
Sacramento,"$12,492,000","$28,025,154",1991
Milwaukee,"$12,451,000","$27,933,171",1991
New York,"$12,399,000","$27,816,510",1991
Orlando,"$12,250,000","$27,482,239",1991
Denver,"$11,879,000","$26,649,919",1991
San Antonio,"$11,587,000","$25,994,829",1991
Miami,"$11,514,000","$25,831,060",1991
Minnesota,"$10,763,000","$24,146,229",1991
Boston,"$25,217,000","$54,878,259",1992
Cleveland,"$19,676,000","$42,819,713",1992
LA Lakers,"$18,851,000","$41,024,311",1992
Chicago,"$18,536,000","$40,338,798",1992
San Antonio,"$18,083,000","$39,352,961",1992
Atlanta,"$18,036,000","$39,250,678",1992
Philadelphia,"$17,367,000","$37,794,770",1992
Washington,"$17,249,000","$37,537,973",1992
Portland,"$16,369,000","$35,622,886",1992
Brooklyn,"$16,314,000","$35,503,188",1992
Indiana,"$16,268,000","$35,403,082",1992
Houston,"$15,877,000","$34,552,172",1992
Golden State,"$15,473,000","$33,672,972",1992
Miami,"$15,125,000","$32,915,639",1992
Orlando,"$14,970,000","$32,578,318",1992
Utah,"$14,517,000","$31,592,485",1992
LA Clippers,"$14,288,000","$31,094,125",1992
Phoenix,"$14,280,000","$31,076,715",1992
Charlotte,"$14,150,000","$30,793,804",1992
Oklahoma City,"$14,033,000","$30,539,185",1992
Milwaukee,"$14,032,000","$30,537,007",1992
New York,"$14,001,000","$30,469,544",1992
Detroit,"$13,954,000","$30,367,261",1992
Sacramento,"$13,953,000","$30,365,085",1992
Denver,"$13,776,180","$29,980,280",1992
Minnesota,"$13,732,000","$29,884,137",1992
Dallas,"$10,859,000","$23,631,795",1992
Cleveland,"$23,711,000","$50,099,990",1993
Portland,"$23,534,000","$49,726,001",1993
LA Lakers,"$23,478,000","$49,607,673",1993
Atlanta,"$22,510,000","$47,562,342",1993
New York,"$22,109,000","$46,715,052",1993
Phoenix,"$21,485,000","$45,396,578",1993
LA Clippers,"$20,188,000","$42,656,090",1993
