Year,Player,Pos,Age,Tm,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM
2022,Nikola Jokić,C,26,DEN,32.8,0.661,23,42.6,2.2,2.3,15.6,31.9,15.2,13.7
2022,Giannis Antetokounmpo,PF,27,MIL,32.1,0.633,18.7,31.7,1.6,4,12.2,34.9,12.9,11.2
2022,Joel Embiid,C,27,PHI,31.2,0.616,19.4,23.5,1.7,3.9,11.3,37.2,12,9.2
2022,Rudy Gobert,C,29,UTA,24.7,0.732,25,5.1,1,5.7,14.5,16.9,11.7,4.6
2022,Karl-Anthony Towns,C,26,MIN,24.1,0.64,15.7,18,1.4,3.2,13.7,27.8,10.3,5
2022,Trae Young,PG,23,ATL,25.4,0.603,5.9,46.7,1.3,0.2,14.5,34.4,10,5.2
2022,Robert Williams,C,24,BOS,22.1,0.745,17.6,9.7,1.5,6.8,13.4,11.5,9.9,5.5
2022,Jayson Tatum,SF,23,BOS,21.8,0.578,12.1,21.1,1.4,1.6,10.9,32.1,9.6,5
2022,Chris Paul,PG,36,PHO,20.8,0.581,7.1,44.5,2.7,0.8,15.6,19.7,9.4,5.4
2022,Jimmy Butler,SF,32,MIA,23.6,0.592,9.9,26.4,2.4,1.5,10.5,26.5,9.2,6.3
2022,Mikal Bridges,SF,25,PHO,14.4,0.627,6.5,8.7,1.6,1.1,6.8,15,8.9,1.6
2022,DeMar DeRozan,PF,32,CHI,23.1,0.59,8,23.3,1.2,0.8,9.2,31.8,8.8,2.5
2022,Jarrett Allen,C,23,CLE,23,0.698,18.4,8.2,1.2,3.7,12.7,18.1,8.5,3.9
2022,Mitchell Robinson,C,23,NYK,20.7,0.722,17.9,3.2,1.6,7.1,12.4,11.4,8.5,2.2
2022,Kevin Durant,PF,33,BRK,25.6,0.634,10.8,29.1,1.1,2.3,12.9,31.2,8.4,7.2
2022,Clint Capela,C,27,ATL,21.4,0.604,23.5,6.6,1.3,4.1,6.1,15.5,8.3,2
2022,Dwight Powell,C,30,DAL,18.1,0.725,12.5,8.1,1,2,11.5,14,8.2,0.9
2022,Pascal Siakam,PF,27,TOR,20.3,0.565,12.2,23,1.6,1.6,11.6,25.8,8.1,3.5
2022,Stephen Curry,PG,33,GSW,21.4,0.601,8.3,30.4,1.9,1,13.2,30.8,8,5.8
2022,Devin Booker,SG,25,PHO,21.3,0.576,7.8,22.4,1.6,1,9.3,32,7.6,4.1
