Year,Team,Acquired_Count,Relinquished_Count
2012,76ers,10.0,0.0
2012,Blazers,0.0,18.0
2012,Bobcats,0.0,26.0
2012,Bucks,16.0,0.0
2012,Bulls,15.0,0.0
2012,Cavaliers,16.0,0.0
2012,Celtics,28.0,0.0
2012,Clippers,14.0,0.0
2012,Grizzlies,7.0,0.0
2012,Hawks,15.0,0.0
2012,Heat,27.0,0.0
2012,Hornets,8.0,0.0
2012,Jazz,7.0,0.0
2012,Kings,13.0,0.0
2012,Knicks,0.0,25.0
2012,Lakers,13.0,0.0
2012,Magic,0.0,43.0
2012,Mavericks,0.0,25.0
2012,Nets,0.0,12.0
2012,Nuggets,28.0,0.0
2012,Pacers,0.0,11.0
2012,Pistons,5.0,0.0
2012,Raptors,18.0,0.0
2012,Rockets,20.0,0.0
2012,Spurs,0.0,24.0
2012,Suns,2.0,0.0
2012,Thunder,0.0,16.0
2012,Timberwolves,22.0,0.0
2012,Warriors,7.0,0.0
2012,Wizards,0.0,10.0
2013,76ers,2.0,0.0
2013,Blazers,0.0,32.0
2013,Bobcats,0.0,10.0
2013,Bucks,0.0,47.0
2013,Bulls,10.0,0.0
2013,Cavaliers,19.0,0.0
2013,Celtics,7.0,0.0
2013,Clippers,12.0,0.0
2013,Grizzlies,15.0,0.0
2013,Hawks,24.0,0.0
2013,Heat,42.0,0.0
2013,Hornets,0.0,5.0
2013,Jazz,13.0,0.0
2013,Kings,11.0,0.0
2013,Knicks,14.0,0.0
2013,Lakers,8.0,0.0
2013,Magic,7.0,0.0
2013,Mavericks,24.0,0.0
2013,Nets,45.0,0.0
2013,Nuggets,23.0,0.0
2013,Pacers,37.0,0.0
2013,Pistons,25.0,0.0
2013,Raptors,19.0,0.0
2013,Rockets,22.0,0.0
2013,Spurs,36.0,0.0
2013,Suns,13.0,0.0
2013,Thunder,47.0,0.0
2013,Timberwolves,0.0,6.0
2013,Warriors,18.0,0.0
2013,Wizards,13.0,0.0
2014,76ers,4.0,0.0
2014,Blazers,21.0,0.0
2014,Bobcats,8.0,0.0
2014,Bucks,7.0,0.0
2014,Bulls,0.0,4.0
2014,Cavaliers,0.0,40.0
2014,Celtics,6.0,0.0
2014,Clippers,15.0,0.0
2014,Grizzlies,5.0,0.0
2014,Hawks,18.0,0.0
2014,Heat,51.0,0.0
2014,Jazz,35.0,0.0
2014,Kings,0.0,16.0
2014,Knicks,0.0,17.0
2014,Lakers,10.0,0.0
2014,Magic,13.0,0.0
2014,Mavericks,0.0,16.0
2014,Nets,0.0,22.0
2014,Nuggets,2.0,0.0
2014,Pacers,17.0,0.0
2014,Pelicans,0.0,12.0
2014,Pistons,21.0,0.0
2014,Raptors,52.0,0.0
2014,Rockets,0.0,19.0
2014,Spurs,37.0,0.0
2014,Suns,4.0,0.0
2014,Thunder,20.0,0.0
2014,Timberwolves,0.0,20.0
2014,Warriors,20.0,0.0
2014,Wizards,0.0,15.0
2015,76ers,6.0,0.0
2015,Blazers,27.0,0.0
2015,Bucks,0.0,8.0
2015,Bulls,38.0,0.0
2015,Cavaliers,20.0,0.0
2015,Celtics,24.0,0.0
2015,Clippers,20.0,0.0
2015,Grizzlies,30.0,0.0
2015,Hawks,42.0,0.0
2015,Heat,29.0,0.0
2015,Hornets,25.0,0.0
2015,Jazz,20.0,0.0
2015,Kings,16.0,0.0
2015,Knicks,0.0,21.0
2015,Lakers,0.0,5.0
2015,Magic,27.0,0.0
2015,Mavericks,35.0,0.0
2015,Nets,21.0,0.0
2015,Nuggets,0.0,25.0
2015,Pacers,21.0,0.0
2015,Pelicans,0.0,18.0
2015,Pistons,10.0,0.0
2015,Raptors,39.0,0.0
2015,Rockets,25.0,0.0
2015,Spurs,36.0,0.0
2015,Suns,41.0,0.0
2015,Thunder,18.0,0.0
2015,Timberwolves,0.0,16.0
2015,Warriors,30.0,0.0
2015,Wizards,22.0,0.0
2016,76ers,12.0,0.0
2016,Blazers,24.0,0.0
2016,Bucks,14.0,0.0
2016,Bulls,21.0,0.0
2016,Cavaliers,24.0,0.0
2016,Celtics,34.0,0.0
2016,Clippers,17.0,0.0
2016,Grizzlies,13.0,0.0
2016,Hawks,0.0,38.0
2016,Heat,23.0,0.0
2016,Hornets,0.0,26.0
