GeoFips,GeoName,LineCode,Description,2020,2021,2022,2017,2018,2019,2015,2016,2013,2014,2012
1001,"Autauga, AL",,Income by place of residence,,,,,,,,,,,
1001,"Autauga, AL",10,Personal income (thousands of dollars),2659457,2896204,2951555,2290351,2371211,2478336,2145869,2222448,1966036,2036671,1953500
1001,"Autauga, AL",20,Population (persons) 2,58902,59210,59759,57371,57728,58245,56278,56954,55594,56034,55558
1001,"Autauga, AL",30,Per capita personal income (dollars),45151,48914,49391,39922,41076,42550,38130,39022,35364,36347,35161
1003,"Baldwin, AL",,Income by place of residence,,,,,,,,,,,
1003,"Baldwin, AL",10,Personal income (thousands of dollars),11947762,13371784,13984484,9583207,10139295,10879470,8504769,9032772,7534558,7949643,7314284
1003,"Baldwin, AL",20,Population (persons) 2,233219,239361,246435,215365,221132,227079,204925,210004,196067,200759,190941
1003,"Baldwin, AL",30,Per capita personal income (dollars),51230,55865,56747,44498,45852,47911,41502,43012,38428,39598,38307
1005,"Barbour, AL",,Income by place of residence,,,,,,,,,,,
1005,"Barbour, AL",10,Personal income (thousands of dollars),926302,1001067,1002082,818509,842907,874243,826252,813637,799040,796038,758383
1005,"Barbour, AL",20,Population (persons) 2,24960,24539,24706,25608,25380,25205,26633,26217,27158,27043,27320
1005,"Barbour, AL",30,Per capita personal income (dollars),37111,40795,40560,31963,33211,34685,31024,31035,29422,29436,27759
1007,"Bibb, AL",,Income by place of residence,,,,,,,,,,,
1007,"Bibb, AL",10,Personal income (thousands of dollars),775032,831602,825481,652789,672223,719297,650180,647542,611305,629223,610470
1007,"Bibb, AL",20,Population (persons) 2,22183,22370,22005,22606,22383,22405,22607,22654,22544,22586,22682
1007,"Bibb, AL",30,Per capita personal income (dollars),34938,37175,37513,28877,30033,32104,28760,28584,27116,27859,26914
1009,"Blount, AL",,Income by place of residence,,,,,,,,,,,
1009,"Blount, AL",10,Personal income (thousands of dollars),2253760,2531922,2603321,1982125,2072951,2155516,1888684,1894626,1742644,1817414,1719937
1009,"Blount, AL",20,Population (persons) 2,59102,59085,59512,58676,58765,58956,58168,58238,58024,58048,57857
1009,"Blount, AL",30,Per capita personal income (dollars),38133,42852,43744,33781,35275,36561,32469,32532,30033,31309,29727
1011,"Bullock, AL",,Income by place of residence,,,,,,,,,,,
1011,"Bullock, AL",10,Personal income (thousands of dollars),313972,338240,320278,267536,272084,283578,264125,266419,261896,257463,264330
1011,"Bullock, AL",20,Population (persons) 2,10296,10280,10202,10425,10443,10455,10584,10612,10670,10818,10689
1011,"Bullock, AL",30,Per capita personal income (dollars),30495,32903,31394,25663,26054,27124,24955,25105,24545,23800,24729
1013,"Butler, AL",,Income by place of residence,,,,,,,,,,,
1013,"Butler, AL",10,Personal income (thousands of dollars),752367,852499,874977,697907,704744,719999,691512,679319,638145,664649,616873
1013,"Butler, AL",20,Population (persons) 2,19031,18855,18650,19588,19312,19097,19932,19760,20212,20139,20568
1013,"Butler, AL",30,Per capita personal income (dollars),39534,45213,46916,35629,36493,37702,34694,34378,31573,33003,29992
1015,"Calhoun, AL",,Income by place of residence,,,,,,,,,,,
1015,"Calhoun, AL",10,Personal income (thousands of dollars),4601998,4979361,4924818,4049899,4154359,4287240,3936697,3970877,3712764,3800402,3766067
1015,"Calhoun, AL",20,Population (persons) 2,116239,115677,115788,116796,116622,116669,117048,116810,117465,117209,117880
1015,"Calhoun, AL",30,Per capita personal income (dollars),39591,43045,42533,34675,35622,36747,33633,33994,31607,32424,31948
1017,"Chambers, AL",,Income by place of residence,,,,,,,,,,,
1017,"Chambers, AL",10,Personal income (thousands of dollars),1255880,1340950,1325192,1094417,1139957,1171074,1072744,1096109,1007148,1024557,995604
