,GeoFips,GeoName,county,state_id,Year,Population,Personal Income,GDP Per Capita,IsChampion,IsNBA,GDP Per Capita Growth,Population Growth,Personal Income Growth,Percent pop diff from dataset mean,Percent gdp diff from dataset mean,Percent personal income diff from dataset mean,Percent pop diff from nba mean,Percent gdp diff from nba mean,Percent personal income diff from nba mean
157,6001,"Alameda, CA",Alameda,CA,2022,1628997,159241119,97754,FALSE,FALSE,-0.009152924,-0.009027659,-0.018098118,1.013236502,1.607552289,1.648116926,,,
80,6001,"Alameda, CA",Alameda,CA,2021,1643837,162176203,98657,FALSE,FALSE,0.126723084,-0.021746867,0.102217556,1.022466986,1.622402011,1.678494517,,,
2,6001,"Alameda, CA",Alameda,CA,2020,1680380,147136291,87561,FALSE,FALSE,0.096184181,-0.00207794,0.093904923,1.04519674,1.43992968,1.522834134,,,
387,6001,"Alameda, CA",Alameda,CA,2019,1683879,134505557,79878,FALSE,FALSE,0.076624479,0.002087634,0.07887719,1.047373119,1.313583707,1.39210831,,,
311,6001,"Alameda, CA",Alameda,CA,2018,1680371,124671796,74193,FALSE,FALSE,0.071255306,0.005091338,0.076711307,1.045191142,1.220094594,1.290330654,,,
235,6001,"Alameda, CA",Alameda,CA,2017,1671859,115789437,69258,FALSE,FALSE,0.06199494,0.006494605,0.068886502,1.039896676,1.138939137,1.198399836,,,
536,6001,"Alameda, CA",Alameda,CA,2016,1661071,108327158,65215,FALSE,FALSE,0.058375799,0.011072629,0.070097228,1.033186538,1.072452508,1.121166592,,,
463,6001,"Alameda, CA",Alameda,CA,2015,1642880,101231136,61618,FALSE,FALSE,0.080846884,0.017611603,0.099882665,1.021871732,1.013300294,1.047724041,,,
680,6001,"Alameda, CA",Alameda,CA,2014,1614447,92038123,57009,FALSE,FALSE,0.053167316,0.018822809,0.072990814,1.004186399,0.937505866,0.952578011,,,
610,6001,"Alameda, CA",Alameda,CA,2013,1584620,85777177,54131,FALSE,FALSE,0.035088726,0.017602647,0.053315132,0.985633998,0.890177516,0.887778346,,,
753,6001,"Alameda, CA",Alameda,CA,2012,1557209,81435436,52296,FALSE,FALSE,0,0,0,0.96858435,0.860001171,0.842842108,,,
213,42003,"Allegheny, PA",Allegheny,PA,2022,1233253,87359911,70837,FALSE,FALSE,0.009980467,-0.009789272,9.49E-05,0.767083645,1.164905594,0.904159358,,,
135,42003,"Allegheny, PA",Allegheny,PA,2021,1245445,87351618,70137,FALSE,FALSE,0.062456449,-0.003264443,0.058988495,0.774667072,1.153394182,0.904073527,,,
58,42003,"Allegheny, PA",Allegheny,PA,2020,1249524,82485899,66014,FALSE,FALSE,0.059461715,-0.000474356,0.058953073,0.777204211,1.085591963,0.853714211,,,
443,42003,"Allegheny, PA",Allegheny,PA,2019,1250117,77893819,62309,FALSE,FALSE,0.032511972,0.001525381,0.034089164,0.777573057,1.024663702,0.806187009,,,
367,42003,"Allegheny, PA",Allegheny,PA,2018,1248213,75326018,60347,FALSE,FALSE,0.071197813,0.000621273,0.071858043,0.776388768,0.992398858,0.779610731,,,
291,42003,"Allegheny, PA",Allegheny,PA,2017,1247438,70276114,56336,FALSE,FALSE,0.055337005,-0.002270697,0.052949887,0.775906718,0.926438465,0.727345134,,,
591,42003,"Allegheny, PA",Allegheny,PA,2016,1250277,66742126,53382,FALSE,FALSE,0.007036541,0.001028028,0.008063176,0.777672577,0.877860305,0.690768994,,,
517,42003,"Allegheny, PA",Allegheny,PA,2015,1248993,66208277,53009,FALSE,FALSE,0.040269247,-0.00029135,0.039978842,0.776873928,0.871726367,0.685243753,,,
734,42003,"Allegheny, PA",Allegheny,PA,2014,1249357,63663100,50957,FALSE,FALSE,0.031706181,0.002549391,0.034325657,0.777100337,0.837981484,0.658901629,,,
